,0
Spencer DD,22.2459273334445
McCarthy G,46.3304825929288
Belger A,20.3717802676954
Mima T,19.4949446794079
Yazawa S,18.0443256340699
Hanakawa T,17.7532660070461
Fukuyama H,6.18089244194644
Shibasaki H,19.5401500278663
Gerlach C,23.2816810934900
Law I,9.87471127808375
Gade A,4.14344674727469
Paulson OB,5.88940597563863
Burton H,53.1144929776422
Abend NS,25.2248925886144
MacLeod AM,15.1349355531686
Sinclair RJ,11.1086197636950
Halpern AR,51.6774305848979
Grosbras MH,42.8824955980538
Van de Moortele PF,9.40706278657746
LeBihan D,5.55793606410475
Honey GD,43.0334522042714
Soni W,8.52800822350831
Varatheesan M,11.5823039742213
Tamada T,15.7744920427906
Iwata NK,2.91838078432405
Nielsen M,20.4944975852170
Ahlfors SP,39.9806315030503
Simpson GV,18.4983218990295
Liu AK,5.86884399322867
Korvenoja A,5.38468967006921
Virtanen J,2.11278383756232
Huotilainen M,1.26767030253739
Aronen HJ,6.75962386562740
Ilmoniemi RJ,45.2842900712089
Dapretto M,42.2794379146740
Bookheimer SY,14.1168032718563
Sugio T,17.6221804511278
Inui T,7.18055559515335
Matsuo K,3.33649885707548
Matsuzawa M,1.50443071965628
Glover GH,36.7776661152386
Nakai T,4.18107015142634
Armony JL,34.5338056126282
Grady CL,32.6124980393343
McIntosh AR,23.4045451628988
Rajah MN,18.0477783757500
Beig S,7.02637057598890
Craik FI,16.6537473976405
Peyron R,40.5654222881235
Garcia-Larrea L,25.5015029611191
Gregoire MC,10.1702958901264
Convers P,6.10217753407587
Richard A,3.66130652044552
Lavenne F,2.19678391226731
Barral FG,2.14800576191549
Mauguiere F,41.8034710369748
Michel D,0.474505325049739
Laurent B,20.1118786892515
Gallagher HL,420.414876476906
Happe F,82.9425066509632
Brunswick N,90.8096133190118
Fletcher PC,20.1158553856473
Frith U,83.9044839138493
Orban GA,25.3881758405396
Sunaert S,76.8248610076232
Todd JT,8.95196557933881
Van Hecke P,6.50738039399808
Marchal G,18.6621827517600
Leveroni CL,151.886412459721
Seidenberg M,14.6854842787455
Mayer AR,13.1832249107124
Mead LA,19.6844790547798
Binder JR,50.9069046674481
Rao SM,20.5159880852878
Ehrsson HH,59.7011190357478
Fagergren A,30.3608548682631
Jonsson T,42.1421858216971
Westling G,13.8987647690655
Johansson RS,10.9409247251532
Forssberg H,28.3169083192583
Victor JD,17.0869959173471
Apkarian P,6.15131853024496
Hirsch J,27.6826167958731
Conte MM,2.21447467088819
Packard M,1.32868480253291
Relkin NR,0.797210881519747
Kim KH,0.707587969521850
Shapley RM,10.2521975504083
Northoff G,22.3343364742428
Richter A,10.8968369724075
Gessner M,16.1595352695029
Schlagenhauf F,17.9799366527139
Fell J,13.5986252619143
Baumgart F,3.49045961821263
Kaulisch T,2.09427577092758
Kotter R,1.25656546255655
Stephan KE,40.3084020242575
Leschinger A,0.452363566520357
